"source","commit","blob","source_sha256","dest","dest_sha256_at_import","treatment","note"
"pytools/panda_teleop/panda_teleop/assets/panda/panda.xml","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","5458892d1890b6258e2566f85b3d9bef6947e07e","ceb1e8c31c777c808565f07d68930ef99098bd405a2178a4c6eff08e8ba13772","assets/mjcf/panda/panda.xml","ceb1e8c31c777c808565f07d68930ef99098bd405a2178a4c6eff08e8ba13772","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/LICENSE","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","d9a10c0d8e868ebf8da0b3dc95bb0be634c34bfe","a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9","assets/mjcf/panda/LICENSE","a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/README.md","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","fe10493a981079003d1f7fa245225703ad520b0f","e12684556d0154bdf2a9e77e7009ed680cd06ca89904f9e6303050f9fe59300c","assets/mjcf/panda/README.md","e12684556d0154bdf2a9e77e7009ed680cd06ca89904f9e6303050f9fe59300c","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/teleop_scene.xml","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","98858e4b324f879fc80a9cc568666dd7cbe4804e","16d5f34326b6070a9bfc419cb446a4047cd6567a68ff464572dd4a8e2a96a1e2","assets/mjcf/scene_g0.xml","eb699aa4697658f055c547df1e04f8331d6377845def2511322a1096060d9f0d","置き換え","include の相対パス panda.xml -> panda/panda.xml と、compiler meshdir=""panda/assets"" の 1 行を追加。コンパイル後のモデルは同一"
"pytools/panda_teleop/panda_teleop/teleop/controller_ik.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","fc1a41a3ef48f2c48969cfafe0b82168ff5c1cae","39780887f57db4ac9a2665435246770fda01dcf7bfe09fd761a90572393a2110","src/recovla/sim/controller_ik.py","39780887f57db4ac9a2665435246770fda01dcf7bfe09fd761a90572393a2110","そのまま",""
"pytools/panda_teleop/panda_teleop/teleop/device.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","963933eb543058a8c02c7176aaa343b276fccb47","0e85307f3ed53c6e59111291e64b65dd0f2a150bf26456c95c52aba79006c2a0","src/recovla/sim/device.py","0e85307f3ed53c6e59111291e64b65dd0f2a150bf26456c95c52aba79006c2a0","そのまま",""
"pytools/panda_teleop/panda_teleop/teleop/app.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","4f1f0aa166a6de9ea7039358e519c1851c0e66b1","4437657892dc4070a8b6ccab30c15207f3bf337d6d29eaff5696a467b97b3502","src/recovla/sim/app.py","4437657892dc4070a8b6ccab30c15207f3bf337d6d29eaff5696a467b97b3502","そのまま",""
"pytools/panda_teleop/panda_teleop/teleop/collect.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","776548c510fc3a5d17408f8ec2057e1f905bfe89","a48712975bf27872a9d8552422cc8d12b31bae7c22f8a947b3985d9804ed1375","src/recovla/sim/collect.py","a48712975bf27872a9d8552422cc8d12b31bae7c22f8a947b3985d9804ed1375","そのまま",""
"pytools/panda_teleop/panda_teleop/scripted_demo.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","1c0a08bc8b00ef98eecc00d924a9adfb1c1c17c7","56769da0fa6c28d88d9b13fbf381429368dd1c2c45b6d59aa4deb47fc82ab9ba","src/recovla/sim/scripted_demo.py","56769da0fa6c28d88d9b13fbf381429368dd1c2c45b6d59aa4deb47fc82ab9ba","そのまま",""
"pytools/panda_teleop/panda_teleop/teleop/recorder.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","91206853ef3a806ea9247bd8eecee7485aac9472","77a8546b4c35385b7a677b39bc1f3f56f37002e1bda8dceaf626a2fa83e9839f","src/recovla/record/recorder.py","77a8546b4c35385b7a677b39bc1f3f56f37002e1bda8dceaf626a2fa83e9839f","そのまま",""
